seasonIDs,roundNums,seriesLetters,seriesLinks,bottomSeedIDs,bottomSeedWins,topSeedIDs,topSeedWins
19781979,2,J,/schedule/playoff-series/1979/series-j/mapleleafs-vs-canadiens,10,0,8,4
19781979,2,K,/schedule/playoff-series/1979/series-k/penguins-vs-bruins,5,0,6,4
19781979,2,L,/schedule/playoff-series/1979/series-l/rangers-vs-flyers,3,4,4,1
19781979,3,M,/schedule/playoff-series/1979/series-m/rangers-vs-islanders,3,4,2,2
19781979,3,N,/schedule/playoff-series/1979/series-n/bruins-vs-canadiens,6,3,8,4
19781979,4,O,/schedule/playoff-series/1979/series-o/rangers-vs-canadiens,3,1,8,4
19791980,1,A,/schedule/playoff-series/1980/series-a/oilers-vs-flyers,22,0,4,3
19791980,1,B,/schedule/playoff-series/1980/series-b/canucks-vs-sabres,23,1,7,3
19791980,1,C,/schedule/playoff-series/1980/series-c/whalers-vs-canadiens,34,0,8,3
19791980,1,D,/schedule/playoff-series/1980/series-d/penguins-vs-bruins,5,2,6,3
19791980,1,E,/schedule/playoff-series/1980/series-e/kings-vs-islanders,26,1,2,3
19791980,1,F,/schedule/playoff-series/1980/series-f/mapleleafs-vs-northstars,10,0,31,3
19791980,1,G,/schedule/playoff-series/1980/series-g/blues-vs-blackhawks,19,0,16,3
19791980,1,H,/schedule/playoff-series/1980/series-h/flames-vs-rangers,47,1,3,3
19791980,2,I,/schedule/playoff-series/1980/series-i/rangers-vs-flyers,3,1,4,4
19791980,2,J,/schedule/playoff-series/1980/series-j/blackhawks-vs-sabres,16,0,7,4
19791980,2,K,/schedule/playoff-series/1980/series-k/northstars-vs-canadiens,31,4,8,3
19791980,2,L,/schedule/playoff-series/1980/series-l/islanders-vs-bruins,2,4,6,1
19791980,3,M,/schedule/playoff-series/1980/series-m/northstars-vs-flyers,31,1,4,4
