Date,Team,Player,Transaction Details
"Apr 18, 2025",Edmonton Oilers,Derek Ryan,Recalled from AHL
"Apr 18, 2025",Washington Capitals,Ethan Bear,Recalled from AHL
"Apr 18, 2025",Minnesota Wild,Jesper Wallstedt,Recalled from AHL
"Apr 18, 2025",Los Angeles Kings,Taylor Ward,Assigned to AHL
"Apr 18, 2025",Nashville Predators,Andreas Englund,Signed 1 year @ $775K AAV starting in 2025-26
"Apr 18, 2025",Dallas Stars,Alexander Petrovic,Recalled from AHL
"Apr 18, 2025",Buffalo Sabres,Tyson Kozak,Assigned to AHL
"Apr 18, 2025",Buffalo Sabres,Jiri Kulich,Assigned to AHL
"Apr 18, 2025",Buffalo Sabres,Noah Ostlund,Assigned to AHL
"Apr 18, 2025",Buffalo Sabres,Isak Rosen,Assigned to AHL
"Apr 18, 2025",Dallas Stars,Lian Bichsel,Recalled from AHL
"Apr 18, 2025",Dallas Stars,Ben Kraws,Recalled from AHL
"Apr 18, 2025",Toronto Maple Leafs,Ryan Reaves,Recalled from AHL
"Apr 18, 2025",Pittsburgh Penguins,Ville Koivunen,Assigned to AHL
"Apr 18, 2025",Pittsburgh Penguins,Joona Koppanen,Assigned to AHL
"Apr 18, 2025",Pittsburgh Penguins,Filip Kral,Assigned to AHL
"Apr 18, 2025",Pittsburgh Penguins,Vasily Ponomarev,Assigned to AHL
"Apr 18, 2025",Pittsburgh Penguins,Sam Poulin,Assigned to AHL
"Apr 18, 2025",Pittsburgh Penguins,Valtteri Puustinen,Assigned to AHL
"Apr 18, 2025",Philadelphia Flyers,Emil Andrae,Assigned to AHL
"Apr 18, 2025",Colorado Avalanche,Kevin Mandolese,Recalled from AHL
"Apr 18, 2025",Carolina Hurricanes,Skyler Brind'Amour,Assigned to AHL
"Apr 18, 2025",Carolina Hurricanes,Domenick Fensore,Assigned to AHL
"Apr 18, 2025",Carolina Hurricanes,Scott Morrow,Assigned to AHL
"Apr 18, 2025",Carolina Hurricanes,Bradly Nadeau,Assigned to AHL
"Apr 18, 2025",Calgary Flames,Sam Morton,Assigned to AHL
"Apr 18, 2025",Calgary Flames,Hunter Brzustewicz,Assigned to AHL
"Apr 17, 2025",San Jose Sharks,Lucas Carlsson,Cleared Waivers
"Apr 17, 2025",Boston Bruins,Ian Mitchell,Cleared Waivers
"Apr 17, 2025",Edmonton Oilers,Darnell Nurse,Suspension Ended
"Apr 17, 2025",Winnipeg Jets,Neal Pionk,Signed 6 years @ $7.000M AAV starting in 2025-26
"Apr 17, 2025",Los Angeles Kings,Caleb Jones,Assigned to AHL
"Apr 17, 2025",Los Angeles Kings,Taylor Ward,Recalled from AHL
"Apr 17, 2025",Boston Bruins,Ian Mitchell,Assigned to AHL
"Apr 17, 2025",Anaheim Ducks,Sam Colangelo,Assigned to AHL
"Apr 17, 2025",Anaheim Ducks,Nikita Nesterenko,Assigned to AHL
"Apr 17, 2025",San Jose Sharks,Lucas Carlsson,Assigned to AHL
"Apr 17, 2025",New Jersey Devils,Mike Hardman,Assigned to AHL
"Apr 17, 2025",New Jersey Devils,Marc McLaughlin,Assigned to AHL
"Apr 17, 2025",Pittsburgh Penguins,Sam Poulin,Recalled from AHL
"Apr 17, 2025",Montreal Canadiens,Joshua Roy,Assigned to AHL
"Apr 17, 2025",Detroit Red Wings,Austin Watson,Assigned to AHL
"Apr 17, 2025",Seattle Kraken,John Hayden,Assigned to AHL
"Apr 17, 2025",Columbus Blue Jackets,Jet Greaves,Assigned to AHL
"Apr 17, 2025",Columbus Blue Jackets,Denton Mateychuk,Assigned to AHL
"Apr 17, 2025",Vancouver Canucks,Linus Karlsson,Assigned to AHL
"Apr 17, 2025",Vancouver Canucks,Kirill Kudryavtsev,Assigned to AHL
"Apr 17, 2025",Vancouver Canucks,Victor Mancini,Assigned to AHL
"Apr 17, 2025",Vancouver Canucks,Ty Mueller,Assigned to AHL
"Apr 17, 2025",Vancouver Canucks,Aatu Raty,Assigned to AHL
"Apr 17, 2025",Vancouver Canucks,Max Sasson,Assigned to AHL
"Apr 17, 2025",Vancouver Canucks,Nikita Tolopilo,Assigned to AHL
"Apr 16, 2025",Dallas Stars,Tyler Seguin,Activated from LTIR
"Apr 16, 2025",Boston Bruins,Frederic Brunet,Assigned to AHL
"Apr 16, 2025",Boston Bruins,John Farinacci,Assigned to AHL
"Apr 16, 2025",Boston Bruins,Vinni Lettieri,Assigned to AHL
"Apr 16, 2025",Boston Bruins,Fabian Lysell,Assigned to AHL
"Apr 16, 2025",Boston Bruins,Fraser Minten,Assigned to AHL
"Apr 16, 2025",Chicago Blackhawks,Kevin Korchinski,Assigned to AHL
"Apr 16, 2025",Chicago Blackhawks,Artyom Levshunov,Assigned to AHL
"Apr 16, 2025",San Jose Sharks,Danil Gushchin,Assigned to AHL
"Apr 16, 2025",San Jose Sharks,Jimmy Schuldt,Assigned to AHL
"Apr 16, 2025",St. Louis Blues,Dalibor Dvorsky,Assigned to AHL
"Apr 16, 2025",Dallas Stars,Lian Bichsel,Assigned to AHL
"Apr 16, 2025",Dallas Stars,Alexander Petrovic,Assigned to AHL
"Apr 16, 2025",New Jersey Devils,Nico Daws,Recalled from AHL
"Apr 16, 2025",New Jersey Devils,Mike Hardman,Recalled from AHL
"Apr 16, 2025",Nashville Predators,Ryan Ufko,Assigned to AHL
"Apr 16, 2025",Vegas Golden Knights,Jonas Rondbjerg,Recalled from AHL
"Apr 16, 2025",Seattle Kraken,Ville Ottavainen,Assigned to AHL
"Apr 16, 2025",Florida Panthers,Rasmus Asplund,Assigned to AHL
"Apr 16, 2025",Florida Panthers,Matt Kiersted,Assigned to AHL
"Apr 16, 2025",Florida Panthers,Jesse Puljujarvi,Assigned to AHL
"Apr 16, 2025",Calgary Flames,Hunter Brzustewicz,Recalled from AHL
"Apr 16, 2025",Calgary Flames,Sam Morton,Recalled from AHL
"Apr 16, 2025",Ottawa Senators,Angus Crookshank,Assigned to AHL
"Apr 16, 2025",Edmonton Oilers,Connor Carrick,Assigned to AHL
"Apr 16, 2025",Boston Bruins,Ian Mitchell,Placed on Waivers
"Apr 16, 2025",San Jose Sharks,Lucas Carlsson,Placed on Waivers
"Apr 16, 2025",Nashville Predators,Marc Del Gaizo,Cleared Waivers
"Apr 16, 2025",New Jersey Devils,Shane Lachance,Signed to an entry level contract.
"Apr 16, 2025",Washington Capitals,Nic Dowd,Signed 2 years @ $3.000M AAV starting in 2025-26
"Apr 16, 2025",Winnipeg Jets,Alex Iafallo,Signed 3 years @ $3.667M AAV starting in 2025-26
"Apr 15, 2025",Edmonton Oilers,Darnell Nurse,Suspension Started
"Apr 15, 2025",Utah Hockey Club,Robert Bortuzzo,Activated from IR
"Apr 15, 2025",Los Angeles Kings,Caleb Jones,Recalled from AHL
"Apr 15, 2025",Buffalo Sabres,Isak Rosen,Recalled from AHL
"Apr 15, 2025",San Jose Sharks,Luca Cagnoni,Assigned to AHL
"Apr 15, 2025",Tampa Bay Lightning,Cam Atkinson,Recalled from AHL
"Apr 15, 2025",Utah Hockey Club,Matt Villalta,Assigned to AHL
"Apr 15, 2025",Utah Hockey Club,Kailer Yamamoto,Assigned to AHL
"Apr 15, 2025",Vegas Golden Knights,Jonas Rondbjerg,Assigned to AHL
"Apr 15, 2025",Carolina Hurricanes,Skyler Brind'Amour,Recalled from AHL
"Apr 15, 2025",Carolina Hurricanes,Domenick Fensore,Recalled from AHL
"Apr 15, 2025",Carolina Hurricanes,Bradly Nadeau,Recalled from AHL
"Apr 15, 2025",Carolina Hurricanes,Riley Stillman,Recalled from AHL
"Apr 15, 2025",Edmonton Oilers,Connor Carrick,Emergency Recall
"Apr 15, 2025",Pittsburgh Penguins,Joona Koppanen,Cleared Waivers
"Apr 15, 2025",Philadelphia Flyers,Alex Bump,Signed to an entry level contract.
"Apr 15, 2025",Philadelphia Flyers,Devin Kaplan,Signed to an entry level contract.
"Apr 15, 2025",Anaheim Ducks,Konnor Smith,Signed to an entry level contract.
"Apr 15, 2025",Nashville Predators,Marc Del Gaizo,Placed on Waivers
"Apr 15, 2025",Colorado Avalanche,Wyatt Aamodt,Assigned to AHL
"Apr 15, 2025",Colorado Avalanche,Jack Ahcan,Assigned to AHL
"Apr 15, 2025",Colorado Avalanche,Jere Innala,Assigned to AHL
"Apr 15, 2025",Colorado Avalanche,T.J. Tynan,Assigned to AHL
"Apr 15, 2025",Colorado Avalanche,Chris Wagner,Assigned to AHL
"Apr 14, 2025",Pittsburgh Penguins,Joona Koppanen,Placed on Waivers
"Apr 14, 2025",Vancouver Canucks,Kirill Kudryavtsev,Recalled from AHL
"Apr 14, 2025",Edmonton Oilers,Joshua Brown,Recalled from AHL
"Apr 14, 2025",Edmonton Oilers,Noah Philp,Assigned to AHL
"Apr 14, 2025",Edmonton Oilers,Derek Ryan,Assigned to AHL
"Apr 14, 2025",Seattle Kraken,Ville Ottavainen,Recalled from AHL
"Apr 14, 2025",Vegas Golden Knights,Jonas Rondbjerg,Recalled from AHL
"Apr 14, 2025",Washington Capitals,Hunter Shepard,Recalled from AHL
"Apr 14, 2025",Washington Capitals,Clay Stevenson,Recalled from AHL
"Apr 14, 2025",Nashville Predators,Ryan Ufko,Recalled from AHL
"Apr 14, 2025",Boston Bruins,Frederic Brunet,Recalled from AHL
"Apr 14, 2025",Boston Bruins,Riley Duran,Assigned to AHL
"Apr 14, 2025",Boston Bruins,John Farinacci,Recalled from AHL
"Apr 14, 2025",San Jose Sharks,Luca Cagnoni,Recalled from AHL
"Apr 14, 2025",San Jose Sharks,Danil Gushchin,Recalled from AHL
"Apr 14, 2025",San Jose Sharks,Jimmy Schuldt,Recalled from AHL
"Apr 14, 2025",New Jersey Devils,Marc McLaughlin,Recalled from AHL
"Apr 14, 2025",Anaheim Ducks,Tim Washe,Signed to an entry level contract.
"Apr 14, 2025",Edmonton Oilers,Quinn Hutson,Signed to an entry level contract.
"Apr 14, 2025",Los Angeles Kings,Jared Wright,Signed to an entry level contract.
"Apr 14, 2025",Calgary Flames,Arsenii Sergeev,Signed to an entry level contract.
"Apr 14, 2025",Calgary Flames,Carter King,Signed to an entry level contract.
"Apr 13, 2025",Ottawa Senators,Nick Cousins,Activated from LTIR
"Apr 13, 2025",Pittsburgh Penguins,Filip Kral,Recalled from AHL
"Apr 13, 2025",New York Islanders,Tristan Lennox,Assigned to AHL
"Apr 13, 2025",Seattle Kraken,Ryan Winterton,Assigned to AHL
"Apr 13, 2025",New York Rangers,Matthew Robertson,Recalled from AHL
"Apr 13, 2025",Winnipeg Jets,Dominic Toninato,Recalled from AHL
"Apr 13, 2025",Boston Bruins,Michael Callahan,Assigned to AHL
"Apr 13, 2025",Minnesota Wild,Zeev Buium,Signed to an entry level contract.
"Apr 13, 2025",Edmonton Oilers,Atro Leppanen,Signed to an entry level contract.
"Apr 13, 2025",Chicago Blackhawks,Ryan Greene,Signed to an entry level contract.
"Apr 13, 2025",Colorado Avalanche,T.J. Tynan,Recalled from AHL
"Apr 13, 2025",Minnesota Wild,Cameron Crotty,Assigned to AHL
"Apr 13, 2025",Philadelphia Flyers,Nikita Grebenkin,Assigned to AHL
"Apr 13, 2025",Toronto Maple Leafs,Dakota Mermis,Emergency Recall
"Apr 12, 2025",Tampa Bay Lightning,Conor Geekie,Recalled from AHL
"Apr 12, 2025",Seattle Kraken,John Hayden,Cleared Waivers
"Apr 12, 2025",Seattle Kraken,Cale Fleury,Cleared Waivers
"Apr 12, 2025",Florida Panthers,Jack Devine,Signed to an entry level contract.
"Apr 12, 2025",Anaheim Ducks,Ian Moore,Signed to an entry level contract.
"Apr 12, 2025",Chicago Blackhawks,Aidan Thompson,Signed to an entry level contract.
"Apr 12, 2025",Edmonton Oilers,Samuel Jonsson,Signed to an entry level contract.
"Apr 12, 2025",Vancouver Canucks,Ty Mueller,Recalled from AHL
"Apr 12, 2025",Vancouver Canucks,Nikita Tolopilo,Recalled from AHL
"Apr 12, 2025",Edmonton Oilers,Cam Dineen,Emergency Recall
"Apr 12, 2025",Edmonton Oilers,Derek Ryan,Emergency Recall
"Apr 12, 2025",Seattle Kraken,Cale Fleury,Assigned to AHL
"Apr 12, 2025",Philadelphia Flyers,Nikita Grebenkin,Recalled from AHL
"Apr 12, 2025",San Jose Sharks,Thomas Bordeleau,Recalled from AHL
"Apr 12, 2025",Dallas Stars,Alexander Petrovic,Recalled from AHL
"Apr 11, 2025",San Jose Sharks,Jan Rutta,Activated from IR
"Apr 11, 2025",Seattle Kraken,John Hayden,Placed on Waivers
"Apr 11, 2025",Seattle Kraken,Cale Fleury,Placed on Waivers
"Apr 11, 2025",Dallas Stars,Arno Tiefensee,Signed to an entry level contract.
"Apr 11, 2025",Edmonton Oilers,Cam Dineen,Assigned to AHL
"Apr 11, 2025",Ottawa Senators,Hayden Hodgson,Recalled from AHL
"Apr 11, 2025",Tampa Bay Lightning,Cam Atkinson,Assigned to AHL
"Apr 11, 2025",Pittsburgh Penguins,Emil Bemstrom,Assigned to AHL
"Apr 11, 2025",Colorado Avalanche,Chris Wagner,Recalled from AHL
"Apr 11, 2025",Colorado Avalanche,Jere Innala,Recalled from AHL
"Apr 11, 2025",Colorado Avalanche,Jack Ahcan,Recalled from AHL
"Apr 11, 2025",Colorado Avalanche,Wyatt Aamodt,Recalled from AHL
"Apr 10, 2025",Pittsburgh Penguins,Valtteri Puustinen,Recalled from AHL
"Apr 10, 2025",Pittsburgh Penguins,Vasily Ponomarev,Recalled from AHL
"Apr 10, 2025",Pittsburgh Penguins,Emil Bemstrom,Recalled from AHL
"Apr 10, 2025",Chicago Blackhawks,Ethan Del Mastro,Assigned to AHL
"Apr 10, 2025",Boston Bruins,Riley Duran,Recalled from AHL
"Apr 10, 2025",Boston Bruins,Patrick Brown,Assigned to AHL
"Apr 10, 2025",Vegas Golden Knights,Alexander Holtz,Recalled from AHL
"Apr 10, 2025",Columbus Blue Jackets,Jet Greaves,Recalled from AHL
"Apr 10, 2025",New York Islanders,Tristan Lennox,Recalled from AHL
"Apr 10, 2025",Edmonton Oilers,Olivier Rodrigue,Assigned to AHL
"Apr 10, 2025",Edmonton Oilers,Cam Dineen,Emergency Recall
"Apr 10, 2025",Nashville Predators,Navrin Mutter,Signed 1 year @ $775K AAV starting in 2025-26
"Apr 10, 2025",Toronto Maple Leafs,Blake Smith,Signed to an entry level contract.
"Apr 9, 2025",Minnesota Wild,Joel Eriksson Ek,Activated from IR
"Apr 9, 2025",Minnesota Wild,Kirill Kaprizov,Activated from LTIR
"Apr 9, 2025",Philadelphia Flyers,Rodrigo Abols,Assigned to AHL
"Apr 9, 2025",Minnesota Wild,Devin Shore,Assigned to AHL
"Apr 9, 2025",Minnesota Wild,Brendan Gaunce,Assigned to AHL
"Apr 9, 2025",Washington Capitals,Patrick Thomas,Signed to an entry level contract.
"Apr 9, 2025",Anaheim Ducks,Carey Terrance,Signed to an entry level contract.
"Apr 9, 2025",Nashville Predators,Matt Murray,Signed 2 years @ $775K AAV starting in 2025-26
"Apr 9, 2025",Seattle Kraken,Victor Ostman,Assigned to AHL
"Apr 9, 2025",Colorado Avalanche,Chris Wagner,Assigned to AHL
"Apr 8, 2025",Vegas Golden Knights,Cole Schwindt,Activated from IR
"Apr 8, 2025",Seattle Kraken,Nathan Villeneuve,Signed to an entry level contract.
"Apr 8, 2025",Montreal Canadiens,Ivan Demidov,Signed to an entry level contract.
"Apr 8, 2025",Montreal Canadiens,Tyler Thorpe,Signed to an entry level contract.
"Apr 8, 2025",New York Rangers,Anton Blidh,Signed 2 years @ $775K AAV starting in 2025-26
"Apr 8, 2025",San Jose Sharks,Collin Graf,Assigned to AHL
"Apr 8, 2025",Pittsburgh Penguins,Matt Nieto,Recalled from AHL
"Apr 8, 2025",Nashville Predators,Spencer Stastney,Assigned to AHL
"Apr 8, 2025",Nashville Predators,Kieffer Bellows,Assigned to AHL
"Apr 8, 2025",Philadelphia Flyers,Olle Lycksell,Assigned to AHL
"Apr 8, 2025",Philadelphia Flyers,Olle Lycksell,Cleared Waivers
"Apr 8, 2025",Detroit Red Wings,Austin Watson,Recalled from AHL
"Apr 8, 2025",Colorado Avalanche,Chris Wagner,Recalled from AHL
"Apr 8, 2025",Seattle Kraken,Victor Ostman,Recalled from AHL
"Apr 8, 2025",Seattle Kraken,Ryan Winterton,Recalled from AHL
"Apr 8, 2025",Edmonton Oilers,Noah Philp,Recalled from AHL
"Apr 8, 2025",Vancouver Canucks,Jonathan Lekkerimäki,Assigned to AHL
"Apr 7, 2025",Seattle Kraken,Andrei Lashko,Signed to an entry level contract.
"Apr 7, 2025",San Jose Sharks,Jimmy Schuldt,Assigned to AHL
"Apr 7, 2025",Utah Hockey Club,Kailer Yamamoto,Recalled from AHL
"Apr 7, 2025",Seattle Kraken,Jani Nyman,Assigned to AHL
"Apr 7, 2025",Philadelphia Flyers,Olle Lycksell,Placed on Waivers
"Apr 6, 2025",St. Louis Blues,Dalibor Dvorsky,Recalled from AHL
"Apr 6, 2025",Utah Hockey Club,Kailer Yamamoto,Assigned to AHL
"Apr 6, 2025",Pittsburgh Penguins,Joona Koppanen,Assigned to AHL
"Apr 6, 2025",Carolina Hurricanes,Justin Robidas,Assigned to AHL
"Apr 6, 2025",Winnipeg Jets,Kieron Walton,Signed to an entry level contract.
"Apr 5, 2025",Edmonton Oilers,Trent Frederic,Activated from IR
"Apr 5, 2025",Florida Panthers,Matt Kiersted,Recalled from AHL
"Apr 5, 2025",Boston Bruins,Michael Callahan,Recalled from AHL
"Apr 5, 2025",Boston Bruins,Fabian Lysell,Recalled from AHL
"Apr 5, 2025",Boston Bruins,Fraser Minten,Recalled from AHL
"Apr 5, 2025",Pittsburgh Penguins,Joona Koppanen,Recalled from AHL
"Apr 5, 2025",Minnesota Wild,Cameron Crotty,Recalled from AHL
"Apr 5, 2025",Colorado Avalanche,Kevin Mandolese,Assigned to AHL
"Apr 5, 2025",Florida Panthers,Rasmus Asplund,Recalled from AHL
"Apr 5, 2025",Florida Panthers,Jesse Puljujarvi,Recalled from AHL
"Apr 5, 2025",Vancouver Canucks,Max Sasson,Recalled from AHL
"Apr 5, 2025",Edmonton Oilers,Nathaniel Day,Signed to an entry level contract.
"Apr 5, 2025",Nashville Predators,Magnus Chrona,Signed 1 year @ $775K AAV starting in 2025-26
"Apr 4, 2025",New York Islanders,Scott Mayfield,Activated from IR
"Apr 4, 2025",New York Islanders,Matt Martin,Activated from IR
"Apr 4, 2025",San Jose Sharks,Gabriel Carriere,Assigned to AHL
"Apr 4, 2025",Nashville Predators,Ozzy Wiesblatt,Assigned to AHL
"Apr 4, 2025",Detroit Red Wings,Dominik Shine,Assigned to AHL
"Apr 4, 2025",Florida Panthers,Anton Lundmark,Signed to an entry level contract.
"Apr 4, 2025",Boston Bruins,Dalton Bancroft,Signed to an entry level contract.
"Apr 4, 2025",Montreal Canadiens,Jacob Fowler,Signed to an entry level contract.
"Apr 4, 2025",Washington Capitals,Hunter Shepard,Recalled from AHL
"Apr 3, 2025",San Jose Sharks,Henry Thrun,Activated from IR
"Apr 3, 2025",Los Angeles Kings,Kenny Connors,Signed to an entry level contract.
"Apr 3, 2025",Carolina Hurricanes,Justin Robidas,Recalled from AHL
"Apr 3, 2025",Seattle Kraken,Ryan Winterton,Assigned to AHL
"Apr 3, 2025",Detroit Red Wings,Austin Watson,Assigned to AHL
"Apr 3, 2025",Nashville Predators,Ozzy Wiesblatt,Recalled from AHL
"Apr 3, 2025",Boston Bruins,Michael Callahan,Assigned to AHL
"Apr 3, 2025",Boston Bruins,Jeffrey Viel,Assigned to AHL
"Apr 3, 2025",Buffalo Sabres,Noah Ostlund,Recalled from AHL
"Apr 3, 2025",San Jose Sharks,Gabriel Carriere,Recalled from AHL
"Apr 3, 2025",Pittsburgh Penguins,Emil Bemstrom,Assigned to AHL
"Apr 2, 2025",Florida Panthers,Jaycob Megna,Recalled from AHL
"Apr 2, 2025",St. Louis Blues,Dalibor Dvorsky,Assigned to AHL
"Apr 2, 2025",Edmonton Oilers,David Tomasek,Signed 1 year @ $1.200M AAV starting in 2025-26
"Apr 2, 2025",Edmonton Oilers,Josh Samanski,Signed to an entry level contract.
"Apr 2, 2025",Utah Hockey Club,Tomas Lavoie,Signed to an entry level contract.
"Apr 2, 2025",Vegas Golden Knights,Jackson Hallum,Signed to an entry level contract.
"Apr 2, 2025",Nashville Predators,Cole O'Hara,Signed to an entry level contract.
"Apr 2, 2025",Calgary Flames,Aydar Suniev,Signed to an entry level contract.
"Apr 2, 2025",Florida Panthers,Tobias Bjornfot,Assigned to AHL
"Apr 2, 2025",Colorado Avalanche,Kevin Mandolese,Recalled from AHL
"Apr 2, 2025",Boston Bruins,Michael Callahan,Recalled from AHL
"Apr 2, 2025",New Jersey Devils,Seamus Casey,Recalled from AHL
"Apr 2, 2025",Pittsburgh Penguins,Joona Koppanen,Recalled from AHL
"Apr 1, 2025",Anaheim Ducks,Ville Husso,Recalled from AHL
"Apr 1, 2025",Seattle Kraken,Ryan Winterton,Recalled from AHL
"Apr 1, 2025",Boston Bruins,Michael Callahan,Assigned to AHL
"Apr 1, 2025",Buffalo Sabres,Isak Rosen,Assigned to AHL
"Apr 1, 2025",Chicago Blackhawks,Taige Harding,Signed to an entry level contract.
"Apr 1, 2025",Vegas Golden Knights,Trevor Connelly,Signed to an entry level contract.
"Apr 1, 2025",Washington Capitals,Ryan Leonard,Signed to an entry level contract.
"Apr 1, 2025",Los Angeles Kings,Otto Salin,Signed to an entry level contract.
"Apr 1, 2025",Edmonton Oilers,Damien Carfagna,Signed to an entry level contract.
"Apr 1, 2025",New York Rangers,Callum Tung,Signed to an entry level contract.
"Apr 1, 2025",New York Islanders,Joey Larson,Signed to an entry level contract.
"Apr 1, 2025",Boston Bruins,Dans Locmelis,Signed to an entry level contract.
"Apr 1, 2025",Washington Capitals,Spencer Smallman,Signed 2 years @ $775K AAV starting in 2025-26
"Apr 1, 2025",Pittsburgh Penguins,Emil Bemstrom,Cleared Waivers
"Apr 1, 2025",Ottawa Senators,Angus Crookshank,Recalled from AHL
"Mar 31, 2025",Dallas Stars,Harrison Scott,Signed to an entry level contract.
"Mar 31, 2025",New York Rangers,Gabe Perreault,Signed to an entry level contract.
"Mar 31, 2025",Colorado Avalanche,Taylor Makar,Signed to an entry level contract.
"Mar 31, 2025",Washington Capitals,David Gucciardi,Signed to an entry level contract.
"Mar 31, 2025",Columbus Blue Jackets,Guillaume Richard,Signed to an entry level contract.
"Mar 31, 2025",San Jose Sharks,Luca Cagnoni,Assigned to AHL
"Mar 31, 2025",San Jose Sharks,Patrick Giles,Assigned to AHL
"Mar 31, 2025",San Jose Sharks,Jack Thompson,Recalled from AHL
"Mar 31, 2025",Pittsburgh Penguins,Emil Bemstrom,Placed on Waivers
"Mar 31, 2025",Minnesota Wild,Devin Shore,Cleared Waivers
"Mar 31, 2025",Minnesota Wild,Brendan Gaunce,Cleared Waivers
"Mar 31, 2025",Vancouver Canucks,Max Sasson,Assigned to AHL
"Mar 31, 2025",Vegas Golden Knights,Akira Schmid,Recalled from AHL
"Mar 31, 2025",Winnipeg Jets,Jaret Anderson-Dolan,Recalled from AHL
"Mar 31, 2025",Winnipeg Jets,Chris Driedger,Recalled from AHL
"Mar 31, 2025",Boston Bruins,Fabian Lysell,Recalled from AHL
"Mar 31, 2025",Boston Bruins,Michael Callahan,Recalled from AHL
"Mar 31, 2025",Boston Bruins,Patrick Brown,Cleared Waivers
"Mar 31, 2025",Boston Bruins,Vinni Lettieri,Cleared Waivers
"Mar 31, 2025",Boston Bruins,Jeffrey Viel,Emergency Recall
"Mar 31, 2025",Ottawa Senators,Angus Crookshank,Assigned to AHL
"Mar 30, 2025",Tampa Bay Lightning,Lucas Mercuri,Signed to an entry level contract.
"Mar 30, 2025",Tampa Bay Lightning,Connor Kurth,Signed to an entry level contract.
"Mar 30, 2025",Vancouver Canucks,Max Sasson,Recalled from AHL
"Mar 30, 2025",Ottawa Senators,Angus Crookshank,Recalled from AHL
"Mar 30, 2025",Buffalo Sabres,Jack Rathbone,Assigned to AHL
"Mar 30, 2025",Tampa Bay Lightning,Lucas Mercuri,Acquired from Carolina Hurricanes
"Mar 30, 2025",Carolina Hurricanes,Lucas Mercuri,Traded to Tampa Bay Lightning
"Mar 30, 2025",Boston Bruins,Fabian Lysell,Assigned to AHL
"Mar 30, 2025",Boston Bruins,Michael Callahan,Assigned to AHL
"Mar 30, 2025",Boston Bruins,Patrick Brown,Placed on Waivers
"Mar 30, 2025",Boston Bruins,Vinni Lettieri,Placed on Waivers
"Mar 30, 2025",Minnesota Wild,Brendan Gaunce,Placed on Waivers
"Mar 30, 2025",Minnesota Wild,Devin Shore,Placed on Waivers
"Mar 29, 2025",Philadelphia Flyers,Karsen Dorwart,Signed to an entry level contract.
"Mar 29, 2025",Buffalo Sabres,Jack Rathbone,Recalled from AHL
"Mar 29, 2025",Vancouver Canucks,Arturs Silovs,Assigned to AHL
"Mar 29, 2025",San Jose Sharks,Jimmy Schuldt,Recalled from AHL
"Mar 29, 2025",Chicago Blackhawks,Sam Rinzel,Signed to an entry level contract.
"Mar 29, 2025",Chicago Blackhawks,Oliver Moore,Signed to an entry level contract.
"Mar 29, 2025",Nashville Predators,Matthew Wood,Signed to an entry level contract.
"Mar 29, 2025",Calgary Flames,Jacob Battaglia,Signed to an entry level contract.
"Mar 28, 2025",Columbus Blue Jackets,Cole Sillinger,Activated from IR
"Mar 28, 2025",Vancouver Canucks,Max Sasson,Recalled from AHL
"Mar 28, 2025",Buffalo Sabres,Josh Dunne,Assigned to AHL
"Mar 28, 2025",Utah Hockey Club,Matt Villalta,Recalled from AHL
"Mar 28, 2025",Utah Hockey Club,Jaxson Stauber,Assigned to AHL
"Mar 28, 2025",Pittsburgh Penguins,Harrison Brunicke,Assigned to AHL
"Mar 28, 2025",Pittsburgh Penguins,Joona Koppanen,Assigned to AHL
"Mar 28, 2025",Pittsburgh Penguins,Rutger McGroarty,Recalled from AHL
"Mar 28, 2025",St. Louis Blues,Jimmy Snuggerud,Signed to an entry level contract.
"Mar 28, 2025",Buffalo Sabres,Topias Leinonen,Signed to an entry level contract.
"Mar 27, 2025",Edmonton Oilers,Brady Stonehouse,Assigned to AHL
"Mar 27, 2025",Nashville Predators,Kieffer Bellows,Cleared Waivers
"Mar 27, 2025",Nashville Predators,Marc Del Gaizo,Cleared Waivers
"Mar 27, 2025",Vegas Golden Knights,Cameron Whitehead,Signed to an entry level contract.
"Mar 27, 2025",Edmonton Oilers,Olivier Rodrigue,Emergency Recall
"Mar 27, 2025",Edmonton Oilers,Derek Ryan,Assigned to AHL
"Mar 27, 2025",Washington Capitals,Dylan McIlrath,Signed 2 years @ $800K AAV starting in 2025-26
"Mar 26, 2025",Nashville Predators,Kieffer Bellows,Placed on Waivers
"Mar 26, 2025",Nashville Predators,Marc Del Gaizo,Placed on Waivers
"Mar 26, 2025",Colorado Avalanche,Jacob MacDonald,Assigned to AHL
"Mar 26, 2025",Los Angeles Kings,Jeff Malott,Recalled from AHL
"Mar 26, 2025",Chicago Blackhawks,Kevin Korchinski,Recalled from AHL
"Mar 26, 2025",Utah Hockey Club,Kailer Yamamoto,Recalled from AHL
"Mar 26, 2025",Columbus Blue Jackets,Charlie Elick,Signed to an entry level contract.
"Mar 26, 2025",Columbus Blue Jackets,Caleb MacDonald,Signed to an entry level contract.
"Mar 26, 2025",Colorado Avalanche,Isak Posch,Signed to an entry level contract.
"Mar 26, 2025",Colorado Avalanche,Cooper Gay,Signed to an entry level contract.
"Mar 26, 2025",Los Angeles Kings,Jared Woolley,Signed to an entry level contract.
"Mar 26, 2025",Philadelphia Flyers,Ty Murchison,Signed to an entry level contract.
"Mar 25, 2025",Buffalo Sabres,Josh Dunne,Recalled from AHL
